Event,Rows,Informative Rate,Informative Accuracy,Informative F1,Informative F2,Informative MCC,Supported Humanitarian Classes,Humanitarian Accuracy,Humanitarian Macro F1 (present classes),Humanitarian Weighted F1,Disagreement Rate,Review Precision,Review Recall,Review F1,Review Rate
hurricane_harvey,523,0.632887,0.726577,0.82236,0.920467,0.422155,7,0.546845,0.461527,0.566716,0.556405,0.735294,0.343643,0.468384,0.260038
hurricane_irma,523,0.667304,0.697897,0.810096,0.896754,0.224335,7,0.573614,0.388111,0.584236,0.609943,0.796748,0.30721,0.443439,0.235182
hurricane_maria,471,0.58811,0.66879,0.773256,0.875576,0.314232,8,0.583864,0.369928,0.596951,0.547771,0.794393,0.329457,0.465753,0.227176
california_wildfires,184,0.690217,0.728261,0.835526,0.927007,0.296843,7,0.445652,0.358422,0.451962,0.641304,0.6875,0.279661,0.39759,0.26087
mexico_earthquake,151,0.668874,0.675497,0.801619,0.9,0.105728,8,0.496689,0.361815,0.545819,0.523179,0.660377,0.443038,0.530303,0.350993
srilanka_floods,119,0.268908,0.739496,0.673684,0.837696,0.571793,7,0.773109,0.460333,0.802999,0.344538,0.666667,0.341463,0.451613,0.176471
iraq_iran_earthquake,61,0.688525,0.688525,0.815534,0.917031,0.0,6,0.377049,0.345755,0.370168,0.639344,0.846154,0.564103,0.676923,0.42623
