feature,unique_values,raw_mi_bits,conditional_mi_bits,permutation_null_mean_bits,permutation_null_p95_bits,excess_over_null_bits,p_value,verdict
payment_method,6,0.1291581411,0.051007445,0.0142430414,0.0228742942,0.0367644036,0.0049751244,signal_beyond_chance
restaurant_name,5,0.0132912466,0.0524611719,0.0121726498,0.0196724178,0.040288522,0.0049751244,signal_beyond_chance
pizza_type,12,0.1443232003,0.085193095,0.0153155662,0.0229241065,0.0698775288,0.0049751244,signal_beyond_chance
pizza_size,4,0.1152013178,0.0171260296,0.0060785133,0.0102417468,0.0110475163,0.0049751244,signal_beyond_chance
traffic_level,3,0.2048411341,0.0286212036,0.0045439496,0.0093564365,0.024077254,0.0049751244,signal_beyond_chance
location,84,0.2107357231,0.1134250595,0.1287147224,0.1456703211,-0.0152896629,0.9353233831,within_permutation_noise_floor
is_weekend,2,0.0001003291,7.13831e-05,0.0031047131,0.0068795785,-0.00303333,1.0,within_permutation_noise_floor
