feature,unique_values,raw_mi_bits,conditional_mi_given_distance_band_bits,mi_drop_after_distance_control_bits,verdict
location,84,0.2107357231,0.1134250595,0.0973106636,strong_artifact_signal_after_distance_control
pizza_type,12,0.1443232003,0.085193095,0.0591301052,strong_artifact_signal_after_distance_control
restaurant_name,5,0.0132912466,0.0524611719,-0.0391699252,weak_artifact_or_sampling_signal_after_distance_control
payment_method,6,0.1291581411,0.051007445,0.0781506962,weak_artifact_or_sampling_signal_after_distance_control
traffic_level,3,0.2048411341,0.0286212036,0.1762199305,weak_artifact_or_sampling_signal_after_distance_control
pizza_size,4,0.1152013178,0.0171260296,0.0980752882,noise_after_distance_control
is_weekend,2,0.0001003291,7.13831e-05,2.8946e-05,noise_after_distance_control
